tweet_id,rating_numerator,stage,breed,retweet_count,favorite_count
892177421306343426,13,,Chihuahua,6514,33819
891815181378084864,12,,Chihuahua,4328,25461
891689557279858688,13,,Labrador_retriever,8964,42908
891327558926688256,12,,basset,9774,41048
891087950875897856,13,,Chesapeake_Bay_retriever,3261,20562
890971913173991426,13,,Appenzeller,2158,12041
890729181411237888,13,,Pomeranian,16716,56848
890609185150312448,13,,Irish_terrier,4429,28226
890240255349198849,14,doggo,Pembroke,7711,32467
890006608113172480,13,,Samoyed,7624,31166
889880896479866881,13,,French_bulldog,5156,28268
889665388333682689,13,puppo,Pembroke,8538,38818
889638837579907072,12,,French_bulldog,4735,27672
889531135344209921,13,puppo,golden_retriever,2321,15359
889278841981685760,13,,whippet,5637,25652
888917238123831296,12,,golden_retriever,4709,29611
888804989199671297,13,,golden_retriever,4559,26080
888554962724278272,13,,Siberian_husky,3732,20290
888078434458587136,12,,French_bulldog,3653,22201
887705289381826560,13,,basset,5609,30779
887473957103951883,13,,Pembroke,18781,69871
887343217045368832,13,,Mexican_hairless,10737,34222
887101392804085760,12,,Samoyed,6167,31061
886983233522544640,13,,Chihuahua,8084,35859
886736880519319552,13,,kuvasz,3443,12306
886366144734445568,12,pupper,French_bulldog,3316,21524
886258384151887873,13,,pug,6523,28469
885984800019947520,12,,Blenheim_spaniel,7097,33382
885528943205470208,13,,pug,6683,36689
885518971528720385,14,,,3899,20788
885167619883638784,13,,malamute,4556,22367
884925521741709313,12,,Italian_greyhound,16439,68152
884876753390489601,13,,chow,6096,28514
884562892145688576,13,,pug,5100,24765
884441805382717440,14,,Pembroke,5856,27478
884247878851493888,13,,,21298,74423
884162670584377345,12,doggo,German_shepherd,3128,20771
883838122936631299,12,,Doberman,3586,22349
883482846933004288,14,,golden_retriever,10407,46860
883360690899218434,13,floofer,chow,3825,22986
883117836046086144,13,,golden_retriever,6949,37914
882992080364220416,13,,Eskimo_dog,4122,24445
882762694511734784,12,pupper,Labrador_retriever,5134,28903
882627270321602560,13,,Pembroke,6342,28382
